SIMULATION 2 FACTIONS
Name ;Death; Money ;Prod ;Spent ;Nb colonies ;Nb attacks ;Nb success ;Nb fails ;ML x;ML y;ML natdef;ML natprod;ML findef;ML finprod;;Name ;Death; Money ;Prod ;Spent ;Nb colonies ;Nb attacks ;Nb success ;Nb fails ;ML x;ML y;ML natdef;ML natprod;ML findef;ML finprod;;
Red;2218;4.79672e+06;1.03644e+07;5.5677e+06;174;13467;12120;1347;5;6;49;0;101;19;;Blue;2220;3.55877e+06;9.18871e+06;5.62994e+06;224;13539;12139;1400;2;16;46;15;99;31;;

Red;79;1195;61914;60719;72;255;218;37;16;14;48;11;99;27;;Blue;81;33980;135249;101269;308;512;424;88;11;13;29;3;80;19;;

Blue;268;553381;1.16136e+06;607974;205;1621;1432;189;8;8;49;12;100;31;;Red;270;247839;863464;615625;195;1571;1388;183;7;15;39;13;90;31;;

Blue;66;342;40435;40093;123;233;189;44;7;7;37;8;88;24;;Red;68;2735;54303;51568;136;229;194;35;9;2;29;12;82;28;;

Red;46;1025;17803;16778;77;142;118;24;8;9;39;9;92;26;;Blue;48;8648;43511;34863;171;224;185;39;10;17;41;14;95;31;;

Blue;50;1235;17908;16673;80;131;110;21;16;9;33;2;86;18;;Red;52;2058;29984;27926;103;142;124;18;16;14;44;0;97;17;;

Red;927;343875;2.59507e+06;2.25119e+06;99;5523;4956;567;1;1;46;12;101;30;;Blue;929;2.81948e+06;5.18651e+06;2.36703e+06;301;5683;5077;606;18;5;28;8;80;24;;

Blue;4499;4.27832e+06;1.58326e+07;1.15543e+07;134;27325;24628;2697;5;3;43;1;95;18;;Red;4501;1.25215e+07;2.41047e+07;1.15832e+07;270;27495;24691;2804;2;17;45;14;96;30;;

Red;44;100;3718;3618;16;43;32;11;12;10;30;0;81;16;;Blue;46;4158;24481;20323;125;156;128;28;9;4;26;12;77;29;;

Blue;587;369545;1.70098e+06;1.33144e+06;124;3346;3027;319;2;19;40;7;93;24;;Red;589;1.61713e+06;3.01808e+06;1.40095e+06;278;3519;3141;378;15;17;34;14;86;32;;

Red;55;1160;39210;38050;138;207;182;25;11;7;32;11;85;27;;Blue;57;3048;48601;45553;117;205;163;42;5;5;32;6;84;22;;

Red;36;103;2489;2386;27;37;30;7;3;13;50;3;92;19;;Blue;38;2303;11640;9337;91;112;90;22;8;11;38;13;84;29;;

Red;16;41;74;33;1;0;0;0;10;2;30;5;39;16;;Blue;18;73;310;237;4;3;3;0;10;1;47;5;59;18;;

